=== Delegation history for all 8 x 150M recipients ===
label,stake_addr,epoch_no,pool_id_hex,ticker_name,pool_name
150M_hop0,stake1u84jrq070qkg09dg8ta3cqaxech4fck953kcwkptzgp3q6cxsu8x6,227,c543d69a39a14c7720c185e2a79c7649d2cab35912866a3e2dc96335,,
150M_hop0,stake1u84jrq070qkg09dg8ta3cqaxech4fck953kcwkptzgp3q6cxsu8x6,227,c543d69a39a14c7720c185e2a79c7649d2cab35912866a3e2dc96335,,
150M_hop2,stake1ux0xnj5ljjx734qph69jc8a2mdemgguy5640pednyw7p08c6mjwk6,227,7858e168a015747df8a4838e0963aca08f17c19516f2118f8a9d7b32,,
150M_hop3,stake1uxz3a23cmjcmautfyel85f56dmw8skznsz0d228km6udsvgra8065,227,e454652db4bb4a07aac51df90cc4f082cd28526ac990b7ddf7466ed2,,
150M_hop4,stake1uxtj8luzpucf5jp5df0za7klmc9eh0rg2t08zwysa58jtwslp7dqz,227,021e8d5d8acd1eecb2c0946a87e09daa4bde370be90413b80eb996d9,,
150M_hop5,stake1uytfgj3wquuyz68r3cvx0z75mtnc4wj0cdxe2sgn70za8dqwsfwfr,227,986e3e2b19a43848a6ec9be2e0c75b74a7b39cbc4c321aaa7d5aa2a8,,
150M_hop6,stake1u8mf4hrhd9mtp86zkazlyg4w2zvzeavpa457lyq2vfn55lgwzk6t2,227,4c316a5b23e0a93a80998575028d8399b0399efcb676837442f9821d,,
150M_hop7,stake1uxdpsgk3xpgvh0mj4sch29veh3al8xut2s0al0zy5exgh5ctds492,227,f80c43e32943a0187ddb64b0ce68cd6ec0e61292d9f75153acc92583,,
150M_hop8,stake1uxl72wy87wxcp8deu0j2kusmspywuz0gnsjf0dxzf6rv9xcwlhxm7,227,11adfe44fee00220af204daa7ccedc7124c03c1d7614e60da4dd2af1,,
=== Current balances for all recipients ===
label,stake_addr,utxo_count,current_balance_ada,first_active_epoch,last_active_epoch
routing,stake1u9zjr6e37w53a474puhx606ayr3rz2l6jljrmzvlzkk3cmg0m2zw0,58,1930537555.562,328,621
200M_unspent,stake1uxexwrph9r2p3lv42r7ccjptpmml33u2v3xx4p0q9ks85wc2y9t33,23,452300059.159,227,602
150M_hop3,stake1uxz3a23cmjcmautfyel85f56dmw8skznsz0d228km6udsvgra8065,1,2.100,507,507
150M_hop0,stake1u84jrq070qkg09dg8ta3cqaxech4fck953kcwkptzgp3q6cxsu8x6,1,2.100,507,507
150M_hop7,stake1uxdpsgk3xpgvh0mj4sch29veh3al8xut2s0al0zy5exgh5ctds492,1,2.100,507,507
150M_hop8,stake1uxl72wy87wxcp8deu0j2kusmspywuz0gnsjf0dxzf6rv9xcwlhxm7,1,2.100,507,507
150M_hop6,stake1u8mf4hrhd9mtp86zkazlyg4w2zvzeavpa457lyq2vfn55lgwzk6t2,1,2.100,507,507
150M_hop2,stake1ux0xnj5ljjx734qph69jc8a2mdemgguy5640pednyw7p08c6mjwk6,1,2.100,507,507
150M_hop5,stake1uytfgj3wquuyz68r3cvx0z75mtnc4wj0cdxe2sgn70za8dqwsfwfr,1,1.005,621,621
