result_set,overlap_tier,entities,drep_category,stake_addr_count,ada_amount,pct
A_summary,CROSS_ENTITY,ALL_CROSS_ENTITY,NO_DELEGATION,979,63791014,69.61
A_summary,CROSS_ENTITY,ALL_CROSS_ENTITY,ABSTAIN,136,16310850,17.80
A_summary,CROSS_ENTITY,ALL_CROSS_ENTITY,NAMED_DREP,74,11467464,12.51
A_summary,CROSS_ENTITY,ALL_CROSS_ENTITY,NO_CONFIDENCE,9,76140,0.08
A_summary,CROSS_ENTITY,ALL_CROSS_ENTITY,GRAND_TOTAL,1198,91645468,100.00
A_excluded,EMURGO_INTERNAL,EMURGO|EMURGO_2,NO_DELEGATION,4239,19821440,31.82
A_excluded,EMURGO_INTERNAL,EMURGO|EMURGO_2,ABSTAIN,430,22801144,36.60
A_excluded,EMURGO_INTERNAL,EMURGO|EMURGO_2,NAMED_DREP,228,19063905,30.60
A_excluded,EMURGO_INTERNAL,EMURGO|EMURGO_2,NO_CONFIDENCE,22,614064,0.99
A_excluded,EMURGO_INTERNAL,EMURGO|EMURGO_2,SUBTOTAL,4919,62300553,100.00
B_detail,2,CF|IOG,NAMED_DREP,7,2460771,84.87
B_detail,2,CF|IOG,ABSTAIN,6,292464,10.09
B_detail,2,CF|IOG,NO_DELEGATION,34,80069,2.76
B_detail,2,CF|IOG,NO_CONFIDENCE,1,66014,2.28
B_detail,3,CF|EMURGO|EMURGO_2,NAMED_DREP,9,2435661,54.58
B_detail,3,CF|EMURGO|EMURGO_2,ABSTAIN,7,1922054,43.07
B_detail,3,CF|EMURGO|EMURGO_2,NO_DELEGATION,66,102905,2.31
B_detail,3,CF|EMURGO|EMURGO_2,NO_CONFIDENCE,1,1557,0.03
B_detail,3,EMURGO|EMURGO_2|IOG,NO_DELEGATION,861,63605180,80.70
B_detail,3,EMURGO|EMURGO_2|IOG,ABSTAIN,121,8705188,11.05
B_detail,3,EMURGO|EMURGO_2|IOG,NAMED_DREP,56,6493177,8.24
B_detail,3,EMURGO|EMURGO_2|IOG,NO_CONFIDENCE,7,8569,0.01
B_detail,4,CF|EMURGO|EMURGO_2|IOG,ABSTAIN,2,5391144,98.52
B_detail,4,CF|EMURGO|EMURGO_2|IOG,NAMED_DREP,2,77855,1.42
B_detail,4,CF|EMURGO|EMURGO_2|IOG,NO_DELEGATION,18,2860,0.05
