address,ada,genesis_date
Ae2tdPwUPEZ6mfjkK8R5gD456uU6CgGUwA5vFFBXCBMzyG8ufnTQnTC6jUV,11783276.000000,2017-09-23
Ae2tdPwUPEZ6TW1UnjQXsCMvi8kjeA43X9G42Y89hynduxCCTEfF1s7kUc5,11516316.000000,2017-09-23
Ae2tdPwUPEZFgWCdtMw3zHTLBdhnV6XURZcUBd3zXWp6K1dGb4Yv7EeEUwP,9425788.000000,2017-09-23
Ae2tdPwUPEZMwCpTGjnbKUnH97WvcMWZHCacfocVMev7kpzF9v4ucwrMsdJ,5018032.000000,2017-09-23
Ae2tdPwUPEZFigJkYhZBjGmEYjAVfavtdgyXktqTECRHLbJuLPRnrPTDArw,4641046.000000,2017-09-23
Ae2tdPwUPEZCayaj3s8b8RVCx16rcwP8r6hCkHjfYBnRyehXdwsauths7Bz,4545454.000000,2017-09-23
Ae2tdPwUPEZ9NQ31LcsfACoq7FWCbRF7Bou6GA7irAQtJVWJHu8WBSPGMTR,4036125.000000,2017-09-23
Ae2tdPwUPEYzTfTvQF3WFiZwEaZPuW2h9b4kif3YDa5ppaHpNix47stW2xg,3904888.000000,2017-09-23
Ae2tdPwUPEYzZV5Bq1mNMmTQ6ZvRTgpU2WaBiciUNSsWd381hYbt9vGHwkS,3846153.000000,2017-09-23
Ae2tdPwUPEZ9hacHskvb6jtUEfkYWg7xV3z7R5t558bVt4RRYLXwSBcYPmr,3845575.000000,2017-09-23
Ae2tdPwUPEZF74TGJ2z4Rz4LidpMPiNqQtVYQ9pq2aDgxJPFFBpNhBSSGEw,3758700.000000,2017-09-23
Ae2tdPwUPEZCfJM6Ky18Ymfsp2PdEQfvRMvBtFgZdfPCLx37MqmGnhdGkSc,3465711.000000,2017-09-23
Ae2tdPwUPEYyJeeTws4AhHU7qg6DEugGfEW9Eq1uHsWzdgTnEBofUEJuePj,3378050.000000,2017-09-23
Ae2tdPwUPEZKhPSUiH7nHf79Br6xWJWbQKF1TmzX1s48rdY8zKt4gd31vwx,3334016.000000,2017-09-23
Ae2tdPwUPEZE7CZHN9CQc8dzryN31CNDPoCr9d5bDuBf1Pgf4miv2CLigFc,3214090.000000,2017-09-23
Ae2tdPwUPEZMMLdEPgzAMrB3p1381XA6GWvcVo78uFBGSDc26byTxuMBXrf,2637613.000000,2017-09-23
Ae2tdPwUPEZ6U3CNYtV8U25qfYnmrYuaQRcDzjX8QHFJKXB1PCySNDTWyDV,2344096.000000,2017-09-23
Ae2tdPwUPEZ7Gxn39kCzBV3UqzfNXkxs1PCSjVNWTVgKDFR6XTtgg3x8JBb,2314250.000000,2017-09-23
Ae2tdPwUPEZJscJAJQ1j3Sg78RZc26EznGz3LvWEYenfjAqbkVYpoqz4GcS,2304083.000000,2017-09-23
Ae2tdPwUPEZKUU3wYhb3xKVaxMmXk7NoKyAac5i8pcnDcoinVSftJE8ApYZ,2260197.000000,2017-09-23
Ae2tdPwUPEZKWXMZGW16YZ997jz8TTotnYN7JazrbvLZrckqUmsYMfnYg2Q,2088168.000000,2017-09-23
Ae2tdPwUPEZ6fUmcbMCt7L7WmBySgSj1SX1eBJroggZprJwiFcdCrzYFyPX,2087646.000000,2017-09-23
Ae2tdPwUPEYzoK19GYeZaLWJxvzFYvRsFGLY5pQpCdogjE63yqQPrr2XPcS,2071066.000000,2017-09-23
