exchange_claim,tagged_addrs,ada_ever_through,ada_live_now,genesis_reachable_8hop
claimed_deposit:Coinbase|Kraken,2,3329295,32826,0
claimed_deposit:Binance|Kraken,1,1160823,451,0
claimed_deposit:Binance|Bybit|Coinbase|Gate.io|Kraken|KuCoin,1,1030633,79,0
claimed_deposit:Coinbase,27,758206,783,0
claimed_deposit:Binance,6,227378,429,0
claimed_deposit:Kraken,16,186958,403,0
claimed_deposit:KuCoin,2,406,5,0
claimed_deposit:Binance|Kraken|KuCoin,1,314,51,0
claimed_deposit:Binance|Coinbase|Kraken,1,51,0,0
claimed_deposit:Bybit,1,1,1,0
claimed_deposit:Gate.io,1,1,0,0
