asset_name,asset_name_hex,fingerprint,minted_at,output_rows,addresses_touched,current_address,current_stake_address,current_tx_hash,at_current_location_since
TRACER05718F936A0FFCC100,545241434552303537313846393336413046464343313030,asset1526jycwk7tytgxh9vr42xdtq5cfyevvk5nnxwh,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC101,545241434552303537313846393336413046464343313031,asset1j47r0yhmjx0en00wddclr07uw2gzntp8w0s8qy,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC102,545241434552303537313846393336413046464343313032,asset1wn9z98epr2rkkt0x9ac96vstgjym2y2x6fqyq8,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC103,545241434552303537313846393336413046464343313033,asset1pfurdsxk8vgqn85d9t7aeywt0m86d07e9xrcfq,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC104,545241434552303537313846393336413046464343313034,asset1ushv54j46fd76rzg2u39t50xc99fzkkl9t3y5y,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC105,545241434552303537313846393336413046464343313035,asset10j2r5vpdv8lhwl2mla349qpdj52f064fmklf28,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC106,545241434552303537313846393336413046464343313036,asset1vv0lwdamykz0dj7mz5ymqk9m8gufd8n0nvce3f,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC107,545241434552303537313846393336413046464343313037,asset12f4rg7r4luxxa0cxl3tjgv779r0z9ugyendsdd,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC108,545241434552303537313846393336413046464343313038,asset18xxe7gwvnnj8qtvz7gk24pc9xm6alsal7xrw9y,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC109,545241434552303537313846393336413046464343313039,asset19k88gj7qq6pl3xag6yxte3slckpz6cpfsxcut2,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC10A,545241434552303537313846393336413046464343313041,asset1akz5vkyp5ev894t3t3yc2jv7l8nfvuhc92ac3l,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC10B,545241434552303537313846393336413046464343313042,asset16dqfks2m6kr9juu9w6p4dd9d30h6rj7hj4u77d,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC10C,545241434552303537313846393336413046464343313043,asset10a4fjwxnrqsgg4mskqpdvyqlat658jp8ludmpf,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC10D,545241434552303537313846393336413046464343313044,asset1emstcu7mypt3npc7r8ud8532h2pclaf9rm7l0v,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC10E,545241434552303537313846393336413046464343313045,asset1s6w3v9ztt7u8kzl03jdhuledc0437vycx9xfnf,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC10F,545241434552303537313846393336413046464343313046,asset156mtuq20dtr002v90wylv3wg5q8d0nxjcq4eph,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC110,545241434552303537313846393336413046464343313130,asset17y6evk8kd7u2x6cyjx3ndasydw5pf5c2dtaf9d,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC111,545241434552303537313846393336413046464343313131,asset1g8g0x7ps4hkmjmty9vc3vx3wpms23km4mzcqs9,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
TRACER05718F936A0FFCC112,545241434552303537313846393336413046464343313132,asset19qwajl90309pqt359mrnrv56xwk0750959j2qv,2026-06-16 14:12:01,3,3,addr1qypnx898pc36t9y4w6j9fdvwnp858ryesue9dksxmrjlynslg9t03g5wgq84f6hvtyz3dkv2ce8u9w7yh6ft5lxtg75qwy9qc0,stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,5e24f636909cd71c4bdc78174a14d8da8b0e76ec43caaa723bf2d4f1625a1e02,2026-06-24 07:44:06
