tx_hash,block_no,block_time,metadata_key,metadata_json,tracer_assets_in_tx,assets,tracer_output_addresses
c1645dd7d6743e6ccedf5f2922fbdb077a34b4080a37e3a8ede55f1b6ecd9f08,13557808,2026-06-16 14:33:17,1985,"{""exchange"": ""Kraken""}",10,TRACER69D9FED14614BFF400;TRACER69D9FED14614BFF401;TRACER69D9FED14614BFF402;TRACER69D9FED14614BFF403;TRACER69D9FED14614BFF404;TRACER69D9FED14614BFF405;TRACER69D9FED14614BFF406;TRACER69D9FED14614BFF407;TRACER69D9FED14614BFF408;TRACER69D9FED14614BFF409,addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu;addr1qywjjv3r2x225r4za8nkyv7q9aqdh7nzaqlfsf5v0nm7suhrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0sz3sw9j
0383fd99e341126ea7255b98703cf7e052e1514fb98282d7e107d03fd3298fdb,13558022,2026-06-16 15:39:48,674,"{""msg"": [""Deposited to:"", ""Kraken"", ""The Red (or Blue) Pill Study"", ""tracer.adagenesistransparency.com""]}",9,TRACER69D9FED14614BFF401;TRACER69D9FED14614BFF402;TRACER69D9FED14614BFF403;TRACER69D9FED14614BFF404;TRACER69D9FED14614BFF405;TRACER69D9FED14614BFF406;TRACER69D9FED14614BFF407;TRACER69D9FED14614BFF408;TRACER69D9FED14614BFF409,addr1qxg4rsphy0463zzdmcgujvp6fhr90xg8yuppyl2mjrzgnahrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0sj9kcyg;addr1qyjdqfx23y3kjkq8rk9zq96ppuz52g450e3hehu043a9qm6p5wrcyyunkmgqzlmscy5ges34vt79lxdte8uzx2hdrmksc8l6wu
b3d75de37024fa2da2db5d1699e88355b0c8fe7d400995960b7c9878f15d7cfb,13558232,2026-06-16 16:55:17,674,"{""msg"": [""Deposited to:"", ""Kraken"", ""The Red (or Blue) Pill Study"", ""tracer.adagenesistransparency.com""]}",10,TRACER2AFBC806FF57F39C00;TRACER2AFBC806FF57F39C01;TRACER2AFBC806FF57F39C02;TRACER2AFBC806FF57F39C03;TRACER2AFBC806FF57F39C04;TRACER2AFBC806FF57F39C05;TRACER2AFBC806FF57F39C06;TRACER2AFBC806FF57F39C07;TRACER2AFBC806FF57F39C08;TRACER2AFBC806FF57F39C09,addr1q9pxl0jev522urjn7fr2cn4fgkszpsn7un2xe9cxaqh3n8lrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0s00347d;addr1qxaekqzrkulp4x7nw9yyllevknt87rjatrjx66z3ra9qt7wm3sfr0g4nq0w935yavp64879c0vvxxmfe2vkxj6rgy2dq03ehn0
d9e17d7c1c58c6b8bfb5911d17953183420d6b5a57fd0be207bdc53ec9d3b52f,13558639,2026-06-16 19:19:24,674,"{""msg"": [""Deposited to:"", ""Kraken"", ""The Red (or Blue) Pill Study"", ""tracer.adagenesistransparency.com""]}",10,TRACERFD4CA0E9123A8CC900;TRACERFD4CA0E9123A8CC901;TRACERFD4CA0E9123A8CC902;TRACERFD4CA0E9123A8CC903;TRACERFD4CA0E9123A8CC904;TRACERFD4CA0E9123A8CC905;TRACERFD4CA0E9123A8CC906;TRACERFD4CA0E9123A8CC907;TRACERFD4CA0E9123A8CC908;TRACERFD4CA0E9123A8CC909,addr1q95a8n97hy6cszzavnnsck6qu6ljujlgh6l2cgxkvwwptluz886v0qt2dnnu5wkkw8v3rf2f2vvtcle9m9zsjtjx0xxqhdfnwh;addr1q9zqqdlayta28zmj7cyz2dr6k8tcg4tpv0ckpz8g0q4gfhhrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0s2lvxqw
a22e0003c09aef7205b1f1f7f513786529fd7b7c0b49a9a652e99e851311d843,13558641,2026-06-16 19:20:40,674,"{""msg"": [""Deposited to:"", ""Kraken"", ""The Red (or Blue) Pill Study"", ""tracer.adagenesistransparency.com""]}",9,TRACERFD4CA0E9123A8CC901;TRACERFD4CA0E9123A8CC902;TRACERFD4CA0E9123A8CC903;TRACERFD4CA0E9123A8CC904;TRACERFD4CA0E9123A8CC905;TRACERFD4CA0E9123A8CC906;TRACERFD4CA0E9123A8CC907;TRACERFD4CA0E9123A8CC908;TRACERFD4CA0E9123A8CC909,addr1q95a8n97hy6cszzavnnsck6qu6ljujlgh6l2cgxkvwwptluz886v0qt2dnnu5wkkw8v3rf2f2vvtcle9m9zsjtjx0xxqhdfnwh;addr1qx02p99wck3mzrxyl9w75fjurr90huye0ek8vr6spvwpw7lrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0s7yz7qm
e72a68d4c24401317109c65f473a7772c58cf7e510f399411473055e4e474c91,13558645,2026-06-16 19:21:32,674,"{""msg"": [""Deposited to:"", ""Kraken"", ""The Red (or Blue) Pill Study"", ""tracer.adagenesistransparency.com""]}",8,TRACERFD4CA0E9123A8CC902;TRACERFD4CA0E9123A8CC903;TRACERFD4CA0E9123A8CC904;TRACERFD4CA0E9123A8CC905;TRACERFD4CA0E9123A8CC906;TRACERFD4CA0E9123A8CC907;TRACERFD4CA0E9123A8CC908;TRACERFD4CA0E9123A8CC909,addr1q95a8n97hy6cszzavnnsck6qu6ljujlgh6l2cgxkvwwptluz886v0qt2dnnu5wkkw8v3rf2f2vvtcle9m9zsjtjx0xxqhdfnwh;addr1qx67qzxxmyrgalnglhsuqy87kjengvtf3jjgc3nedqrvsfhrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0ssl738k
55dbcf386831f9c313c79d2306ba43a3728213cd3cdb64cc2f459145bf86c293,13558798,2026-06-16 20:09:02,674,"{""msg"": [""Deposited to:"", ""Coinbase"", ""The Red (or Blue) Pill Study"", ""tracer.adagenesistransparency.com"", ""Charles Hoskinson steals money from little old ladies""]}",60,TRACER5BE015F8D35B1D8D00;TRACER5BE015F8D35B1D8D01;TRACER5BE015F8D35B1D8D02;TRACER5BE015F8D35B1D8D03;TRACER5BE015F8D35B1D8D04;TRACER5BE015F8D35B1D8D05;TRACER5BE015F8D35B1D8D06;TRACER5BE015F8D35B1D8D07;TRACER5BE015F8D35B1D8D08;TRACER5BE015F8D35B1D8D09;TRACER5BE015F8D35B1D8D0A;TRACER5BE015F8D35B1D8D0B;TRACER5BE015F8D35B1D8D0C;TRACER5BE015F8D35B1D8D0D;TRACER5BE015F8D35B1D8D0E;TRACER5BE015F8D35B1D8D0F;TRACER5BE015F8D35B1D8D10;TRACER5BE015F8D35B1D8D11;TRACER5BE015F8D35B1D8D12;TRACER5BE015F8D35B1D8D13;TRACER5BE015F8D35B1D8D14;TRACER5BE015F8D35B1D8D15;TRACER5BE015F8D35B1D8D16;TRACER5BE015F8D35B1D8D17;TRACER5BE015F8D35B1D8D18;TRACER5BE015F8D35B1D8D19;TRACER5BE015F8D35B1D8D1A;TRACER5BE015F8D35B1D8D1B;TRACER5BE015F8D35B1D8D1C;TRACER5BE015F8D35B1D8D1D;TRACER5BE015F8D35B1D8D1E;TRACER5BE015F8D35B1D8D1F;TRACER5BE015F8D35B1D8D20;TRACER5BE015F8D35B1D8D21;TRACER5BE015F8D35B1D8D22;TRACER5BE015F8D35B1D8D23;TRACER5BE015F8D35B1D8D24;TRACER5BE015F8D35B1D8D25;TRACER5BE015F8D35B1D8D26;TRACER5BE015F8D35B1D8D27;TRACER5BE015F8D35B1D8D28;TRACER5BE015F8D35B1D8D29;TRACER5BE015F8D35B1D8D2A;TRACER5BE015F8D35B1D8D2B;TRACER5BE015F8D35B1D8D2C;TRACER5BE015F8D35B1D8D2D;TRACER5BE015F8D35B1D8D2E;TRACER5BE015F8D35B1D8D2F;TRACER5BE015F8D35B1D8D30;TRACER5BE015F8D35B1D8D31;TRACERAF2E0C13BEDC990700;TRACERAF2E0C13BEDC990701;TRACERAF2E0C13BEDC990702;TRACERAF2E0C13BEDC990703;TRACERAF2E0C13BEDC990704;TRACERAF2E0C13BEDC990705;TRACERAF2E0C13BEDC990706;TRACERAF2E0C13BEDC990707;TRACERAF2E0C13BEDC990708;TRACERAF2E0C13BEDC990709,addr1q8d82sgwpxx7fkv0473dlq0jptggye7dmqlwghy9wfph28elsu8nckfycr3jfyppwdfc4p29lymhpkwxhwwlqrqn08ks95djtg;addr1vyfpe2qrel4n6qns3enqusjs62gsh6wdwhruaw9h36hy8rq927fll
62bf311fcd56040e120741cd9d788f5ed8818904f547c1ddad31d7e875d434f0,13558812,2026-06-16 20:12:57,674,"{""msg"": [""Deposited to:"", ""Coinbase"", ""The Red (or Blue) Pill Study"", ""tracer.adagenesistransparency.com"", ""Hoskinson is a thief.""]}",59,TRACER5BE015F8D35B1D8D01;TRACER5BE015F8D35B1D8D02;TRACER5BE015F8D35B1D8D03;TRACER5BE015F8D35B1D8D04;TRACER5BE015F8D35B1D8D05;TRACER5BE015F8D35B1D8D06;TRACER5BE015F8D35B1D8D07;TRACER5BE015F8D35B1D8D08;TRACER5BE015F8D35B1D8D09;TRACER5BE015F8D35B1D8D0A;TRACER5BE015F8D35B1D8D0B;TRACER5BE015F8D35B1D8D0C;TRACER5BE015F8D35B1D8D0D;TRACER5BE015F8D35B1D8D0E;TRACER5BE015F8D35B1D8D0F;TRACER5BE015F8D35B1D8D10;TRACER5BE015F8D35B1D8D11;TRACER5BE015F8D35B1D8D12;TRACER5BE015F8D35B1D8D13;TRACER5BE015F8D35B1D8D14;TRACER5BE015F8D35B1D8D15;TRACER5BE015F8D35B1D8D16;TRACER5BE015F8D35B1D8D17;TRACER5BE015F8D35B1D8D18;TRACER5BE015F8D35B1D8D19;TRACER5BE015F8D35B1D8D1A;TRACER5BE015F8D35B1D8D1B;TRACER5BE015F8D35B1D8D1C;TRACER5BE015F8D35B1D8D1D;TRACER5BE015F8D35B1D8D1E;TRACER5BE015F8D35B1D8D1F;TRACER5BE015F8D35B1D8D20;TRACER5BE015F8D35B1D8D21;TRACER5BE015F8D35B1D8D22;TRACER5BE015F8D35B1D8D23;TRACER5BE015F8D35B1D8D24;TRACER5BE015F8D35B1D8D25;TRACER5BE015F8D35B1D8D26;TRACER5BE015F8D35B1D8D27;TRACER5BE015F8D35B1D8D28;TRACER5BE015F8D35B1D8D29;TRACER5BE015F8D35B1D8D2A;TRACER5BE015F8D35B1D8D2B;TRACER5BE015F8D35B1D8D2C;TRACER5BE015F8D35B1D8D2D;TRACER5BE015F8D35B1D8D2E;TRACER5BE015F8D35B1D8D2F;TRACER5BE015F8D35B1D8D30;TRACER5BE015F8D35B1D8D31;TRACERAF2E0C13BEDC990700;TRACERAF2E0C13BEDC990701;TRACERAF2E0C13BEDC990702;TRACERAF2E0C13BEDC990703;TRACERAF2E0C13BEDC990704;TRACERAF2E0C13BEDC990705;TRACERAF2E0C13BEDC990706;TRACERAF2E0C13BEDC990707;TRACERAF2E0C13BEDC990708;TRACERAF2E0C13BEDC990709,addr1q8d82sgwpxx7fkv0473dlq0jptggye7dmqlwghy9wfph28elsu8nckfycr3jfyppwdfc4p29lymhpkwxhwwlqrqn08ks95djtg;addr1v876552es5pa4e4uz87l37stwxrd6jtpxg2k0gq97mmexgcnsphfu
1f0638dc1d2f08c98cdc85d120b6507af2a20d5ae15ff9c4483bcde7b18ba09a,13559553,2026-06-17 00:22:05,674,"{""msg"": [""Deposited to:"", ""Kraken"", ""The Red (or Blue) Pill Study"", ""tracer.adagenesistransparency.com""]}",50,TRACER9CDCA38F1964467900;TRACER9CDCA38F1964467901;TRACER9CDCA38F1964467902;TRACER9CDCA38F1964467903;TRACER9CDCA38F1964467904;TRACER9CDCA38F1964467905;TRACER9CDCA38F1964467906;TRACER9CDCA38F1964467907;TRACER9CDCA38F1964467908;TRACER9CDCA38F1964467909;TRACER9CDCA38F196446790A;TRACER9CDCA38F196446790B;TRACER9CDCA38F196446790C;TRACER9CDCA38F196446790D;TRACER9CDCA38F196446790E;TRACER9CDCA38F196446790F;TRACER9CDCA38F1964467910;TRACER9CDCA38F1964467911;TRACER9CDCA38F1964467912;TRACER9CDCA38F1964467913;TRACER9CDCA38F1964467914;TRACER9CDCA38F1964467915;TRACER9CDCA38F1964467916;TRACER9CDCA38F1964467917;TRACER9CDCA38F1964467918;TRACER9CDCA38F1964467919;TRACER9CDCA38F196446791A;TRACER9CDCA38F196446791B;TRACER9CDCA38F196446791C;TRACER9CDCA38F196446791D;TRACER9CDCA38F196446791E;TRACER9CDCA38F196446791F;TRACER9CDCA38F1964467920;TRACER9CDCA38F1964467921;TRACER9CDCA38F1964467922;TRACER9CDCA38F1964467923;TRACER9CDCA38F1964467924;TRACER9CDCA38F1964467925;TRACER9CDCA38F1964467926;TRACER9CDCA38F1964467927;TRACER9CDCA38F1964467928;TRACER9CDCA38F1964467929;TRACER9CDCA38F196446792A;TRACER9CDCA38F196446792B;TRACER9CDCA38F196446792C;TRACER9CDCA38F196446792D;TRACER9CDCA38F196446792E;TRACER9CDCA38F196446792F;TRACER9CDCA38F1964467930;TRACER9CDCA38F1964467931,addr1q96088a96d0vx32ws5l6dvs4sws043ufayls63msrlnvx6k2gv37eeddujrkcgw0ytzeswt5cw893xg640d9wgyemz2qqjtg0s;addr1q9w7plj69ufdhnxapsd2ymw32knqwl3tgtce54lew7lk06lrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0sep0qa0
227e4e2e181506950773e3e2e69790f75b76ef504f5c26fc2e5f202d98cd526e,13559587,2026-06-17 00:34:44,674,"{""msg"": [""Deposited to:"", ""Binance"", ""The Red (or Blue) Pill Study"", ""tracer.adagenesistransparency.com""]}",49,TRACER9CDCA38F1964467901;TRACER9CDCA38F1964467902;TRACER9CDCA38F1964467903;TRACER9CDCA38F1964467904;TRACER9CDCA38F1964467905;TRACER9CDCA38F1964467906;TRACER9CDCA38F1964467907;TRACER9CDCA38F1964467908;TRACER9CDCA38F1964467909;TRACER9CDCA38F196446790A;TRACER9CDCA38F196446790B;TRACER9CDCA38F196446790C;TRACER9CDCA38F196446790D;TRACER9CDCA38F196446790E;TRACER9CDCA38F196446790F;TRACER9CDCA38F1964467910;TRACER9CDCA38F1964467911;TRACER9CDCA38F1964467912;TRACER9CDCA38F1964467913;TRACER9CDCA38F1964467914;TRACER9CDCA38F1964467915;TRACER9CDCA38F1964467916;TRACER9CDCA38F1964467917;TRACER9CDCA38F1964467918;TRACER9CDCA38F1964467919;TRACER9CDCA38F196446791A;TRACER9CDCA38F196446791B;TRACER9CDCA38F196446791C;TRACER9CDCA38F196446791D;TRACER9CDCA38F196446791E;TRACER9CDCA38F196446791F;TRACER9CDCA38F1964467920;TRACER9CDCA38F1964467921;TRACER9CDCA38F1964467922;TRACER9CDCA38F1964467923;TRACER9CDCA38F1964467924;TRACER9CDCA38F1964467925;TRACER9CDCA38F1964467926;TRACER9CDCA38F1964467927;TRACER9CDCA38F1964467928;TRACER9CDCA38F1964467929;TRACER9CDCA38F196446792A;TRACER9CDCA38F196446792B;TRACER9CDCA38F196446792C;TRACER9CDCA38F196446792D;TRACER9CDCA38F196446792E;TRACER9CDCA38F196446792F;TRACER9CDCA38F1964467930;TRACER9CDCA38F1964467931,addr1q96088a96d0vx32ws5l6dvs4sws043ufayls63msrlnvx6k2gv37eeddujrkcgw0ytzeswt5cw893xg640d9wgyemz2qqjtg0s;addr1v8yq8tt8d024nn03hamg2d35zsn4u5nsaqkfzx2n37j8cccfy5gxs
