day,output_rows,distinct_assets,distinct_addresses,distinct_txs
2026-06-16,846,360,18,22
2026-06-17,695,176,27,30
2026-06-18,213,56,16,21
2026-06-19,327,106,16,31
2026-06-20,52,26,8,12
2026-06-21,177,62,8,12
2026-06-22,20,19,5,5
2026-06-23,60,34,6,10
2026-06-24,199,167,7,9
2026-06-25,22,10,3,8
2026-06-26,9,9,2,2
2026-06-27,41,9,2,6
2026-06-28,41,9,2,6
2026-06-30,69,9,2,13
2026-07-01,50,9,2,8
2026-07-02,8,8,1,1
2026-07-03,181,109,3,12
2026-07-04,35,9,2,7
2026-07-05,3,1,1,3
2026-07-06,218,57,7,20
2026-07-07,67,10,3,11
2026-07-08,82,9,2,12
2026-07-09,157,10,3,24
2026-07-10,4,2,2,4
2026-07-11,251,10,3,34
2026-07-12,2,1,1,2
2026-07-13,42,5,3,16
2026-07-14,4,2,2,4
2026-07-15,2,1,1,2
2026-07-16,3,2,2,3
2026-07-17,103,102,3,4
2026-07-18,12,7,3,8
2026-07-19,2,1,1,2
2026-07-20,3,2,2,3
2026-07-21,236,55,3,40
2026-07-22,102,14,4,40
2026-07-23,36,10,7,12
2026-07-24,9,4,2,5
