terminus_key,claimed_exchange,claimed_exchange_norm,tracers,participants,corroborated,is_resolved_name
a:addr1v823qrsz6dxjws29cxve54g983euufpskwe4q3uez63y8xc9w38nz,Bybit,bybit,1,1,f,f
a:addr1v852389nj4fsr4z2wj460mpzj8tp0fdhfsm7f75uyvysuqqahxyck,Binance,binance,1,1,f,f
a:addr1v8ce8ny4d8vrr2zltlarqvzyeydfkp8905p4wgrykgw6ypsumvxtr,Binance,binance,1,1,f,f
a:addr1v8yq8tt8d024nn03hamg2d35zsn4u5nsaqkfzx2n37j8cccfy5gxs,Binance,binance,2,1,f,f
a:addr1v9r8psfnlhzmycwn7zrzejktgzmww7y9p7tfcmtled29arcgldf6j,UEX.us,uex.us,1,1,f,f
a:addr1vxytw7xz99svpv8w5lk2r9j9mxe8p82m2v3qaj0xgalj4ds2jsgq5,Coinbase,coinbase,30,6,t,t
a:addr1vygguq8sqkgpc22qyq86u3jpsh3nfxgg0fvmgldmwnwlxesadydhx,Binance,binance,3,1,f,f
a:addr1vygh5z0yneazanzp0pjvyzpmh64mq3s8fy6ys7jx6lqh9kqupgerq,Binance,binance,1,1,f,f
s:stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,Kraken,kraken,16,8,t,t
s:stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,Coinbase,coinbase,1,1,f,f
s:stake1uxd5jxns935zjp6lswke9upwdzz634ukfwwcapk02x8sgfcas4spp,Gate.io,gate.io,1,1,f,f
s:stake1uyucxkycrc70349xq3cxzahf4hkytyhr05lntfcg49hqpxsqlrayk,KuCoin,kucoin,2,2,t,t
s:stake1uyucxkycrc70349xq3cxzahf4hkytyhr05lntfcg49hqpxsqlrayk,"","",2,1,f,f
