terminus_key,tracers_now,tracers_from_validated_deposit,participants,first_arrival,last_arrival,has_enterprise_address,claimed_names
s:stake1uy05z4hc528yqr65atk9jpgkmx9vvn7zh0ztay460n9502qa0s3zz,100,0,0,2026-07-17 10:26:29,2026-07-17 10:26:29,f,
s:stake1uylcwreutyjvpceyjqshx5u2s4zljdmsm8rth80spsfhnmgtcyc78,55,0,0,2026-06-19 09:49:40,2026-06-19 09:49:40,f,
s:stake1u8kd52zqgtl9qdamspaj7gk7ykpmfl62wh7yd433uzmsn9gatur26,49,0,0,2026-06-24 05:28:04,2026-06-24 05:28:04,f,
s:stake1uya07qu0afnrec75n4mj55au9ysp9u24yy5wrz0qca0pnps3u72zg,49,0,0,2026-07-21 12:58:17,2026-07-21 12:58:17,f,
s:stake1u9gcdqyqfsmpsh8cqysnas30f0gxapr7zx5xy2q25gp77qcx325hp,47,0,0,2026-06-17 12:07:00,2026-06-17 12:07:00,f,
s:stake1uyrcrw7wlwdnesq4j4v4jv23nfqg2x4yha3cyyd9eyfacds7p8dwf,46,0,0,2026-07-06 12:42:42,2026-07-06 12:42:42,f,
s:stake1u89yxglvukk7fpmvy88j93vc896v8rjcnyd2hkjhyzva39qmn4pv0,37,0,0,2026-06-17 02:13:46,2026-06-23 16:43:02,f,
a:addr1vxytw7xz99svpv8w5lk2r9j9mxe8p82m2v3qaj0xgalj4ds2jsgq5,36,30,6,2026-06-16 22:57:12,2026-07-23 15:11:03,t,Coinbase
s:stake1u8dccy3h52es8hzc6zwkqa2nlzu8kxrrd5u4xtrfdp5z9xssc2hrc,19,0,0,2026-06-16 16:55:17,2026-06-16 16:55:17,f,
s:stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,18,17,8,2026-06-23 00:41:53,2026-07-24 12:35:40,f,Coinbase;Kraken
s:stake1u9q68puzzwfmd5qp0acvz2yvcg6k9lzlnx4un7pr9tk3amge84tj7,15,0,0,2026-06-17 08:53:02,2026-06-18 15:02:43,f,
s:stake1u9algn8cvlg3gkmxepdnzwc0930wehf5v7catkhg0np5mfqwcaxfw,10,0,0,2026-06-16 15:06:48,2026-06-16 15:06:48,f,
s:stake1uyu50jr7g94qzfnc68kv9vtl0nugl27gd47qc82vnarv3ygwudgx9,6,0,0,2026-06-24 14:41:36,2026-06-24 14:41:36,f,
s:stake1uyucxkycrc70349xq3cxzahf4hkytyhr05lntfcg49hqpxsqlrayk,4,4,2,2026-07-22 11:55:56,2026-07-22 13:03:55,f,KuCoin
a:addr1vygguq8sqkgpc22qyq86u3jpsh3nfxgg0fvmgldmwnwlxesadydhx,3,3,1,2026-06-17 10:51:25,2026-06-20 17:25:51,t,Binance
s:stake1uxprnax8s94xee728tt8rkg354y4xx9u0ujaj3gf9er8nrq3553tk,3,0,0,2026-06-20 17:25:51,2026-06-20 17:25:51,f,
a:addr1v8yq8tt8d024nn03hamg2d35zsn4u5nsaqkfzx2n37j8cccfy5gxs,2,2,1,2026-06-17 00:34:44,2026-06-17 00:56:00,t,Binance
a:addr1v823qrsz6dxjws29cxve54g983euufpskwe4q3uez63y8xc9w38nz,1,1,1,2026-06-17 02:13:46,2026-06-17 02:13:46,t,Bybit
a:addr1v852389nj4fsr4z2wj460mpzj8tp0fdhfsm7f75uyvysuqqahxyck,1,1,1,2026-06-24 05:28:04,2026-06-24 05:28:04,t,Binance
a:addr1v8ce8ny4d8vrr2zltlarqvzyeydfkp8905p4wgrykgw6ypsumvxtr,1,1,1,2026-06-17 17:34:13,2026-06-17 17:34:13,t,Binance
a:addr1v9r8psfnlhzmycwn7zrzejktgzmww7y9p7tfcmtled29arcgldf6j,1,1,1,2026-07-23 08:26:46,2026-07-23 08:26:46,t,UEX.us
a:addr1vygh5z0yneazanzp0pjvyzpmh64mq3s8fy6ys7jx6lqh9kqupgerq,1,1,1,2026-06-17 12:02:33,2026-06-17 12:02:33,t,Binance
s:stake1uxd5jxns935zjp6lswke9upwdzz634ukfwwcapk02x8sgfcas4spp,1,1,1,2026-07-24 12:44:23,2026-07-24 12:44:23,f,Gate.io
