terminus_key,terminus_address_if_no_stake,tracers,participants,deposit_txs,first_deposit,last_deposit,distinct_names_claimed,conflicted,top_participants,resolved_exchange,resolution_status,tracers_at_terminus_total
a:addr1vxytw7xz99svpv8w5lk2r9j9mxe8p82m2v3qaj0xgalj4ds2jsgq5,addr1vxytw7xz99svpv8w5lk2r9j9mxe8p82m2v3qaj0xgalj4ds2jsgq5,30,6,30,2026-06-16 20:09:02,2026-07-23 08:46:21,1,f,6,Coinbase,resolved,36
s:stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,,17,8,17,2026-06-16 15:39:48,2026-07-23 08:48:27,2,t,8,Kraken,resolved,18
s:stake1uyucxkycrc70349xq3cxzahf4hkytyhr05lntfcg49hqpxsqlrayk,,4,2,4,2026-06-17 02:52:03,2026-06-18 10:22:28,1,f,2,KuCoin,resolved,4
a:addr1vygguq8sqkgpc22qyq86u3jpsh3nfxgg0fvmgldmwnwlxesadydhx,addr1vygguq8sqkgpc22qyq86u3jpsh3nfxgg0fvmgldmwnwlxesadydhx,3,1,3,2026-06-17 10:51:25,2026-06-20 17:25:51,1,f,1,,unresolved_below_threshold,3
a:addr1v8yq8tt8d024nn03hamg2d35zsn4u5nsaqkfzx2n37j8cccfy5gxs,addr1v8yq8tt8d024nn03hamg2d35zsn4u5nsaqkfzx2n37j8cccfy5gxs,2,1,2,2026-06-17 00:34:44,2026-06-17 00:56:00,1,f,1,,unresolved_below_threshold,2
a:addr1v823qrsz6dxjws29cxve54g983euufpskwe4q3uez63y8xc9w38nz,addr1v823qrsz6dxjws29cxve54g983euufpskwe4q3uez63y8xc9w38nz,1,1,1,2026-06-17 02:13:46,2026-06-17 02:13:46,1,f,1,,unresolved_below_threshold,1
a:addr1v852389nj4fsr4z2wj460mpzj8tp0fdhfsm7f75uyvysuqqahxyck,addr1v852389nj4fsr4z2wj460mpzj8tp0fdhfsm7f75uyvysuqqahxyck,1,1,1,2026-06-24 05:28:04,2026-06-24 05:28:04,1,f,1,,unresolved_below_threshold,1
a:addr1v8ce8ny4d8vrr2zltlarqvzyeydfkp8905p4wgrykgw6ypsumvxtr,addr1v8ce8ny4d8vrr2zltlarqvzyeydfkp8905p4wgrykgw6ypsumvxtr,1,1,1,2026-06-17 17:34:13,2026-06-17 17:34:13,1,f,1,,unresolved_below_threshold,1
a:addr1v9r8psfnlhzmycwn7zrzejktgzmww7y9p7tfcmtled29arcgldf6j,addr1v9r8psfnlhzmycwn7zrzejktgzmww7y9p7tfcmtled29arcgldf6j,1,1,1,2026-07-23 08:26:46,2026-07-23 08:26:46,1,f,1,,unresolved_below_threshold,1
a:addr1vygh5z0yneazanzp0pjvyzpmh64mq3s8fy6ys7jx6lqh9kqupgerq,addr1vygh5z0yneazanzp0pjvyzpmh64mq3s8fy6ys7jx6lqh9kqupgerq,1,1,1,2026-06-17 12:02:33,2026-06-17 12:02:33,1,f,1,,unresolved_below_threshold,1
s:stake1uxd5jxns935zjp6lswke9upwdzz634ukfwwcapk02x8sgfcas4spp,,1,1,1,2026-06-17 03:16:03,2026-06-17 03:16:03,1,f,1,,unresolved_below_threshold,1
