address,stake_address,claimed_entity,label_type,evidence,evidence_url,submitted_by,submitted_date,grade
addr1vxytw7xz99svpv8w5lk2r9j9mxe8p82m2v3qaj0xgalj4ds2jsgq5,,Coinbase,custody_cluster,study method: 30 tracer(s) from 6 distinct participant wallet(s); vote split: Coinbase 30t/6p,https://tracer.adagenesistransparency.com,the_red_or_blue_pill_study_participants,2026-07-23,STRONG_INFERENCE
,stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,Kraken,custody_cluster,study method: 17 tracer(s) from 8 distinct participant wallet(s); vote split: Kraken 16t/8p; Coinbase 1t/1p,https://tracer.adagenesistransparency.com,the_red_or_blue_pill_study_participants,2026-07-23,STRONG_INFERENCE
,stake1uyucxkycrc70349xq3cxzahf4hkytyhr05lntfcg49hqpxsqlrayk,KuCoin,custody_cluster,study method: 4 tracer(s) from 2 distinct participant wallet(s); vote split: KuCoin 2t/2p; (unnamed) 2t/1p,https://tracer.adagenesistransparency.com,the_red_or_blue_pill_study_participants,2026-06-18,STRONG_INFERENCE
DdzFFzCqrht44eAzUcfiLz8eLSMRscwXNDQd1YPsGsGPesuGx29pVUZUe2F7G8wtUjrCoB14m5pGBCbABUoLKrvjEsaCetomtb4BSnnM,,KuCoin,deposit_address,study method: 3 validated deposit(s) from 1 participant wallet(s); terminus s:stake1uyucxk… resolved -> KuCoin,https://tracer.adagenesistransparency.com,the_red_or_blue_pill_study_participants,2026-06-18,STRONG_INFERENCE
addr1q8mz539tumjz9xkaev4s2n064w7n4kl4pq03k8vr2s4ge98rzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0segsrmp,stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,Kraken,deposit_address,study method: 1 validated deposit(s) from 1 participant wallet(s); terminus s:stake1u833p4… resolved -> Kraken,https://tracer.adagenesistransparency.com,the_red_or_blue_pill_study_participants,2026-06-17,STRONG_INFERENCE
addr1q8u5k8ch6k8r8ru5gxxlg75rrm9waupx362cnq0dp0nackhrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0s37fl60,stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,Kraken,deposit_address,study method: 1 validated deposit(s) from 1 participant wallet(s); terminus s:stake1u833p4… resolved -> Kraken,https://tracer.adagenesistransparency.com,the_red_or_blue_pill_study_participants,2026-06-17,STRONG_INFERENCE
addr1q8ytwnmvdg394feq94vekdmjcltnzl5cwvfmuf5lmcz396hrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0sex85gq,stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,Coinbase|Kraken,deposit_address,study method: 2 validated deposit(s) from 1 participant wallet(s); terminus s:stake1u833p4… resolved -> Kraken,https://tracer.adagenesistransparency.com,the_red_or_blue_pill_study_participants,2026-07-06,WORKING_HYPOTHESIS
addr1q9f3myhaullmyczgckhq4j29wvqdn2suftf6xwwywrgjevhrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0s0n03yc,stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,Kraken,deposit_address,study method: 1 validated deposit(s) from 1 participant wallet(s); terminus s:stake1u833p4… resolved -> Kraken,https://tracer.adagenesistransparency.com,the_red_or_blue_pill_study_participants,2026-06-17,STRONG_INFERENCE
addr1q9fe36t08fgxj0540dspyestaesuemwcq6fce5n0c4agf60rzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0snh94lc,stake1u833p40y8cm07ra9wgrqgp70z6khc5pttrena97c6en6p8c7pzxda,Kraken,deposit_address,study method: 1 validated deposit(s) from 1 participant wallet(s); terminus s:stake1u833p4… resolved -> Kraken,https://tracer.adagenesistransparency.com,the_red_or_blue_pill_study_participants,2026-06-17,STRONG_INFERENCE
addr1q9g5xlgepj9x50w8fxtutzyvzkxpe3uksy5cry29hpaddju2c2p0cegfuq6mjmt58u263qj2qtnqqzl3swjcthxupjkqvg6p9k,stake1ux9v9qhuv5y7qdded46r79dgsf9q9esqp0cc8fv9mnwqetqm703rr,Gate.io,deposit_address,study method: 1 validated deposit(s) from 1 participant wallet(s); terminus s:stake1uxd5jx… unresolved_below_threshold,https://tracer.adagenesistransparency.com,the_red_or_blue_pill_study_participants,2026-06-17,WORKING_HYPOTHESIS
